id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49316920,"Lovely 2 bed, 1 bath bungalow, quiet neighborhood",242754149,Janet,West Seattle,Seaview,47.54598,-122.39609,Entire home/apt,186,2,16,2021-09-22,8.42,1,63,16,STR-OPLI-21-000249
49320459,Charming City Flat in Seattle:,1452570,Emily,Rainier Valley,Columbia City,47.55185,-122.2787,Entire home/apt,175,3,8,2021-09-06,6.15,4,0,8,STR-OPLI-19-002230
49342760,Modern Townhome with Rooftop in Seattle’s Central District,267572441,Hosteeva,Central Area,Minor,47.60355,-122.31211,Entire home/apt,245,1,16,2021-09-03,4.90,1,135,16,STR-OPLI-21-000146
49345319,Frank's Room Historic Panama Hotel Intl District,1608733,Bean,Downtown,International District,47.60079,-122.32685,Private room,93,1,27,2021-09-04,5.23,15,353,27,Exempt
49354000,"Amazing South Lake Union 1BR w/ Gym, BBQ, nr. Amazon, by Blueground",107434423,Blueground,Cascade,South Lake Union,47.619118,-122.338081,Entire home/apt,171,30,0,,,149,327,0,
49358755,Cozy Bedroom Perfect for Traveling Professionals,19304546,Nathaniel,Central Area,Atlantic,47.60152,-122.30378,Private room,50,30,1,2021-06-04,0.26,2,1,1,
49359651,Loft Studio located in the historic Belltown,86157147,Lyle,Cascade,South Lake Union,47.61863,-122.34517,Entire home/apt,139,2,23,2021-09-02,8.41,18,77,23,STR-OPLI-21-000308
49360059,Work or Relax with Mt. Rainier and City Views,53363311,Daniel,Magnolia,Southeast Magnolia,47.64429,-122.38935,Entire home/apt,320,2,8,2021-09-20,3.33,1,5,8,STR-OPLI-19-003441
49364411,Stunning studio in trendy house - Unit A,32059522,Renato,Downtown,Yesler Terrace,47.60585,-122.31706,Entire home/apt,137,4,13,2021-08-30,2.98,2,17,13,STR-OPLI-19-003281
49368329,Gorgeous 2 BR Penthouse in the Heart of the City,80333752,Ashley & Mike,Downtown,Belltown,47.61415,-122.34871,Entire home/apt,382,2,22,2021-09-09,4.49,13,138,22,STR-OPLI-19-001655
49375797,"Ideal South Lake Union 1BR w/ Gym, Storage, near Parks, by Blueground",107434423,Blueground,Cascade,South Lake Union,47.619118,-122.338081,Entire home/apt,196,30,0,,,149,206,0,
49381773,Small Bedroom Perfect for Traveling Professionals,19304546,Nathaniel,Central Area,Minor,47.6029,-122.3045,Private room,41,30,4,2021-09-03,0.88,2,22,4,STR-OPLI-21-000105
49387417,Desirable Yesler Terrace 1BR Suite w/ Kitchen!,24742368,Erik Mabry,Central Area,Minor,47.60342,-122.31385,Entire home/apt,104,1,16,2021-09-19,5.52,1,185,16,STR-OPLI-21-000443
49399703,A Open Light at the Top of the World,6137030,Stephen,Other neighborhoods,Phinney Ridge,47.67467,-122.35726,Private room,320,30,15,2021-09-05,3.06,12,180,15,STR-OPLI-21-003265
49403449,A Perfection at the Top of the World,6137030,Stephen,Other neighborhoods,Phinney Ridge,47.67453,-122.35609,Private room,320,30,20,2021-09-13,4.23,12,180,20,STR-OPLI-21-003265
49403667,"Gorgeous Garden Getaway, Near Shops, Cafes, Parks",23160576,Heather,Beacon Hill,North Beacon Hill,47.56258,-122.30742,Entire home/apt,156,2,18,2021-08-21,4.06,1,161,18,STR-OPLI-21-000340
49404710,"Be a Local Not Tourist, Stay in Studi Capitol Hill",211742313,Ted,Capitol Hill,Broadway,47.61801,-122.32604,Entire home/apt,139,1,35,2021-09-14,8.47,2,140,35,STR-OPLI-20-000651
49405256,Charming Basement Apartment in 1886 Victorian,31213996,Shirley,Central Area,Atlantic,47.59208,-122.30319,Entire home/apt,64,3,21,2021-09-23,21,1,118,21,STR-OPLI-19-002305
49406615,Happy Seattle (1st and 2nd floors),509820,Susan,West Seattle,Seaview,47.54846,-122.38881,Entire home/apt,118,3,10,2021-08-09,2.54,2,171,10,STR-OPLI-21-000321
49409055,❄️ Smart & Spacious 5BR/3BA Wallingford Home ❄️,107076441,Karen,Other neighborhoods,Wallingford,47.65486,-122.33395,Entire home/apt,502,2,2,2021-08-01,0.67,3,316,2,STR-OPLI-19-001149
49423033,Family fun in Phinney,4113814,Kim+Phil,Ballard,West Woodland,47.67205,-122.36122,Entire home/apt,123,2,12,2021-09-19,6.92,1,5,12,STR-OPLI-21-000327
49425481,Ultra Clean | Spacious and Modern| 3br2ba| Sophari,314324381,Sophari,Beacon Hill,North Beacon Hill,47.587,-122.30989,Entire home/apt,236,3,8,2021-07-17,2.47,4,178,8,STR-OPLI-21-000391
49450601,PERFECTLY LOCATED Airbnb in Wallingford!,22060525,Sebastien,Other neighborhoods,Wallingford,47.6623,-122.33947,Entire home/apt,196,2,31,2021-09-19,6.33,1,315,31,STR-OPLI-21-000301
49462042,Private Apartment in the Heart of Ballard,135715956,Scott,Ballard,Adams,47.6755,-122.38854,Entire home/apt,120,2,18,2021-09-10,3.80,1,149,18,STR-OPLI-20-000205
49467093,Brand new top-floor condo in the heart of CapHill,79676296,Nick,Capitol Hill,Broadway,47.62049,-122.3167,Entire home/apt,99,30,1,2021-08-15,0.71,1,0,1,
49480097,Balcony Room with En-Suite Bath in West Seattle,6531875,Rich,Delridge,North Delridge,47.56713,-122.36898,Private room,89,1,15,2021-09-08,3.33,3,54,15,STR-OPLI-19-002018
49481783,Stylish Remodeled Apartment Near Downtown Ballard,399068120,Justin,Ballard,Loyal Heights,47.67842,-122.38635,Entire home/apt,136,1,18,2021-09-19,7.11,3,167,18,STR-OPLI-21-000436
49485759,Private Studio In Quiet Safe Neighborhood,328814696,KayMarie,Rainier Valley,Mount Baker,47.57459,-122.29379,Entire home/apt,60,30,0,,,1,253,0,
49488963,"Classic, updated beauty. Great walkable area.",66580878,Tom,West Seattle,Fauntleroy,47.52016,-122.39141,Entire home/apt,389,2,2,2021-09-06,1.22,1,302,2,STR-OPLI-21-000226
49494876,"Belltown Court | Indoor Pool, Hot Tub & Gym",140236800,TurnKey Vacation Rentals,Downtown,Belltown,47.61376,-122.34896,Entire home/apt,77,2,4,2021-08-22,1.30,55,348,4,STR-OPLI-20-001126
49495886,Columbia City Cutie with A/C | Walk to Dining,140236800,TurnKey Vacation Rentals,Beacon Hill,Mid-Beacon Hill,47.55487,-122.29158,Entire home/apt,123,2,7,2021-09-07,1.76,55,234,7,STR-OPLI-21-000345
49497372,Seattle - Backyard Casita (new construction),398313796,Coleen,Ballard,Adams,47.67431,-122.39821,Entire home/apt,277,2,27,2021-09-15,5.63,1,341,27,STR-OPLI-19-003406
